title,url,year,issue
Editorial,https://www.tandfonline.com/doi/abs/10.1080/014416400295301,2000,1
Rail network accessibility and the demand for inter-urban rail travel,https://www.tandfonline.com/doi/abs/10.1080/014416400295310,2000,1
Railway reform in China,https://www.tandfonline.com/doi/abs/10.1080/014416400295329,2000,1
"Road rage: What, who, when, where and how?",https://www.tandfonline.com/doi/abs/10.1080/014416400295338,2000,1
An evaluation methodology for city logistics,https://www.tandfonline.com/doi/abs/10.1080/014416400295347,2000,1
European passenger rail reforms: A comparative assessment of the emerging models,https://www.tandfonline.com/doi/abs/10.1080/014416400295356,2000,1
Sustainable urban development and transport -a Eurovision for 2020,https://www.tandfonline.com/doi/abs/10.1080/014416400295365,2000,1
Book reviews,https://www.tandfonline.com/doi/abs/10.1080/014416400295374,2000,1
"Obituary - Professor Michael E. Beesley, CBE",https://www.tandfonline.com/doi/abs/10.1080/014416400295211,2000,2
Technological advances that impact on microsimulation modelling,https://www.tandfonline.com/doi/abs/10.1080/014416400295220,2000,2
A comparison of EU and US progress in the development of longitudinal advanced vehicle control and safety systems (AVCSS),https://www.tandfonline.com/doi/abs/10.1080/014416400295239,2000,2
Energy use reduction potential of passenger transport in Europe,https://www.tandfonline.com/doi/abs/10.1080/014416400295248,2000,2
Performance evaluation of carriers by North American companies,https://www.tandfonline.com/doi/abs/10.1080/014416400295257,2000,2
Analysing road traffic influences on air pollution: How to achieve sustainable urban development,https://www.tandfonline.com/doi/abs/10.1080/014416400295266,2000,2
Transport integration of Slovenia with the European Union,https://www.tandfonline.com/doi/abs/10.1080/014416400295275,2000,2
Logistics opportunities in Asia and development in Taiwan,https://www.tandfonline.com/doi/abs/10.1080/014416400295284,2000,2
Book reviews,https://www.tandfonline.com/doi/abs/10.1080/014416400295293,2000,2
A subadditivity test for the cost function of the principal European railways,https://www.tandfonline.com/doi/abs/10.1080/014416400412814,2000,3
Parking restraint policy and urban vitality,https://www.tandfonline.com/doi/abs/10.1080/014416400412823,2000,3
"Competition and Ownership in Land Passenger Transport: The Sixth International Conference, Cape Town, South Africa, September 1999 - Part 1",https://www.tandfonline.com/doi/abs/10.1080/014416400412832,2000,3
The Asian economic crisis and the aviation industry: Impacts and response strategies,https://www.tandfonline.com/doi/abs/10.1080/014416400412841,2000,3
"Women, travel and the idea of 'sustainable transport'",https://www.tandfonline.com/doi/abs/10.1080/014416400412850,2000,3
Book review,https://www.tandfonline.com/doi/abs/10.1080/014416400412869,2000,3
Urban travel: Competition and pricing,https://www.tandfonline.com/doi/abs/10.1080/01441640050150658,2000,4
Using risk analysis to determine the potential range of lifecycle costs for urban transit systems,https://www.tandfonline.com/doi/abs/10.1080/01441640050150667,2000,4
Introducing advanced electronic driver support systems: An exploration of market and technological uncertainties,https://www.tandfonline.com/doi/abs/10.1080/01441640050150676,2000,4
"Competition and Ownership in Land Passenger Transport: The Sixth International Conference, Cape Town, South Africa, September 1999 - Part 2",https://www.tandfonline.com/doi/abs/10.1080/01441640050150702,2000,4
Book Review,https://www.tandfonline.com/doi/abs/10.1080/01441640050150711,2000,4
They Also Helped,https://www.tandfonline.com/doi/abs/10.1080/01441640050150739,2000,4
The changing nature of rail freight in Great Britain: The start of a renaissance?,https://www.tandfonline.com/doi/abs/10.1080/014416400750059257,2001,1
Deregulating direct flights across the Taiwan Strait: The transformation of Eastern Asian air transport market and network,https://www.tandfonline.com/doi/abs/10.1080/01441640118776,2001,1
Effect of speed limits on speed distributions and highway safety: A survey of recent literature,https://www.tandfonline.com/doi/abs/10.1080/014416400750059275,2001,1
Intelligent transport systems solutions in transitional countries: The case of Korea,https://www.tandfonline.com/doi/abs/10.1080/01441640117008,2001,1
The transport planning process for minimum available related data: A case study - Palestinian self-rule areas,https://www.tandfonline.com/doi/abs/10.1080/014416400750059293,2001,1
Traffic flooding the low countries: How the Dutch cope with motorway congestion,https://www.tandfonline.com/doi/abs/10.1080/014416400750059301,2001,1
International logistics in Lithuania at a time of transition,https://www.tandfonline.com/doi/abs/10.1080/014416400750059310,2001,1
Book reviews,https://www.tandfonline.com/doi/abs/10.1080/014416400750059329,2001,1
A whole-system approach to evaluating urban transit investments,https://www.tandfonline.com/doi/abs/10.1080/01441640116962,2001,2
The effect of railway privatization on train planning: A case study of the UK,https://www.tandfonline.com/doi/abs/10.1080/01441640121328,2001,2
Competition in the UK passenger railway industry: Prospects and problems,https://www.tandfonline.com/doi/abs/10.1080/01441640118248,2001,2
Towards integrated traveller information,https://www.tandfonline.com/doi/abs/10.1080/01441640118614,2001,2
Economic appraisal of European transport projects: The state-of-the-art revisited,https://www.tandfonline.com/doi/abs/10.1080/01441640119423,2001,2
Book reviews,https://www.tandfonline.com/doi/abs/10.1080/01441640010001530,2001,2
A philosophical context for methods to estimate origin ? destination trip matrices using link counts,https://www.tandfonline.com/doi/abs/10.1080/713868144,2001,3
Deployment of interurban ATT test scenarios (DIATS): Implications for the European road network,https://www.tandfonline.com/doi/abs/10.1080/01441640118995,2001,3
New tramways in France: The case of Montpellier,https://www.tandfonline.com/doi/abs/10.1080/01441640117122,2001,3
Predicting particle emissions from vehicles: Modelling issues and an alternative methodology,https://www.tandfonline.com/doi/abs/10.1080/01441640118292,2001,3
Evaluation and implications of environmental charges on commercial flights,https://www.tandfonline.com/doi/abs/10.1080/01441640119415,2001,3
Book reviews,https://www.tandfonline.com/doi/abs/10.1080/01441640117629,2001,3
Valuation of improved railway rolling stock: A review of the literature and new evidence,https://www.tandfonline.com/doi/abs/10.1080/01441640010020115,2001,4
Considering the financial ratios on the performance evaluation of highway bus industry,https://www.tandfonline.com/doi/abs/10.1080/01441640010020304,2001,4
Integrated transport systems in the European Union: An overview of some recent developments,https://www.tandfonline.com/doi/abs/10.1080/01441640110042147,2001,4
