title,url
A comprehensive daily activity-travel generation model system for workers,https://doi.org/10.1016/S0965-8564(98)00037-8
Spatial interaction between the truck flows through the Mexico–Texas border,https://doi.org/10.1016/S0965-8564(98)00062-7
An aggregate capacity estimation model for the evaluation of railroad passing constructions,https://doi.org/10.1016/S0965-8564(98)00066-4
Index,https://doi.org/10.1016/S0965-8564(99)00051-8
Scheduling and facility design for transit railcar maintenance,https://doi.org/10.1016/S0965-8564(98)00064-0
An exploratory hazard-based analysis of highway incident duration,https://doi.org/10.1016/S0965-8564(98)00065-2
A model of speed profiles for traffic calmed roads,https://doi.org/10.1016/S0965-8564(98)00067-6
Comprehensive regional modeling for long-range planning: linking integrated urban models and geographic information systems,https://doi.org/10.1016/S0965-8564(98)00069-X
Are the objective and solutions of dynamic user-equilibrium models always consistent?,https://doi.org/10.1016/S0965-8564(98)00072-X
Maximum car ownership under constraints of road capacity and parking space,https://doi.org/10.1016/S0965-8564(98)00070-6
The future mobility of the world population,https://doi.org/10.1016/S0965-8564(98)00071-8
Highway pricing and capacity choice in a road network under a build–operate–transfer scheme,https://doi.org/10.1016/S0965-8564(99)00001-4
Modeling employees' perceptions and proportional preferences of work locations: the regular workplace and telecommuting alternatives,https://doi.org/10.1016/S0965-8564(99)00002-6
Transferring insights into commuter behavior dynamics from laboratory experiments to field surveys,https://doi.org/10.1016/S0965-8564(99)00003-8
The effect of education programs on paratransit demand of people with disabilities,https://doi.org/10.1016/S0965-8564(99)00014-2
A deterministic approach to evaluating transport infrastructure at a terminus,https://doi.org/10.1016/S0965-8564(99)00029-4
Policy applications of travel behavior models,https://doi.org/10.1016/S0965-8564(99)00035-X
Household choices of car-use reduction measures,https://doi.org/10.1016/S0965-8564(99)00039-7
Travel reduction strategies: intentions and outcomes,https://doi.org/10.1016/S0965-8564(99)00034-8
An analysis of household vehicle holding durations considering intended holding durations,https://doi.org/10.1016/S0965-8564(99)00033-6
Estimating demand for a cycle-way network,https://doi.org/10.1016/S0965-8564(99)00040-3
A model for integrated analysis of household location and travel choices,https://doi.org/10.1016/S0965-8564(99)00038-5
A behavioural choice model for the evaluation of railway supply and pricing policies,https://doi.org/10.1016/S0965-8564(99)00041-5
Effects of alternative road pricing systems on network performance,https://doi.org/10.1016/S0965-8564(99)00015-4
Delay-based passenger car equivalents for trucks at signalized intersections,https://doi.org/10.1016/S0965-8564(99)00026-9
The implications of differential network flexibility for spatial structures,https://doi.org/10.1016/S0965-8564(99)00028-2
Development of transitioned vertical curve I Properties,https://doi.org/10.1016/S0965-8564(99)00036-1
A model to represent motorcycle behaviour at signalised intersections incorporating an amended first order macroscopic approach,https://doi.org/10.1016/S0965-8564(99)00027-0
The influence of transport on industrial location choice: a stated preference experiment,https://doi.org/10.1016/S0965-8564(99)00030-0
Road test of a freeway model,https://doi.org/10.1016/S0965-8564(99)00031-2
Development of transitioned vertical curve II Sight distance,https://doi.org/10.1016/S0965-8564(99)00037-3
Trucking industry perceptions of congestion problems and potential solutions in maritime intermodal operations in California,https://doi.org/10.1016/S0965-8564(99)00042-7
Analysis of activity duration using the Puget sound transportation panel,https://doi.org/10.1016/S0965-8564(99)00044-0
A stated choice approach to developing multi-faceted models of activity behavior,https://doi.org/10.1016/S0965-8564(99)00045-2
,https://doi.org/10.1016/S0965-8564(00)00021-5
,https://doi.org/10.1016/S0965-8564(00)00022-7
,https://doi.org/10.1016/S0965-8564(00)00023-9
,https://doi.org/10.1016/S0965-8564(00)00024-0
,https://doi.org/10.1016/S0965-8564(00)00025-2
,https://doi.org/10.1016/S0965-8564(00)00026-4
Index,https://doi.org/10.1016/S0965-8564(00)00027-6
Improved velocity estimation using single loop detectors,https://doi.org/10.1016/S0965-8564(00)00028-8
Some observed details of freeway traffic evolution,https://doi.org/10.1016/S0965-8564(00)00029-X
Modeling user adoption of advanced traveler information systems: dynamic evolution and stationary equilibrium,https://doi.org/10.1016/S0965-8564(00)00030-6
Creating bus timetables with maximal synchronization,https://doi.org/10.1016/S0965-8564(00)00032-X
Analysis of the efficiency of local government services delivery. An application to urban public transport,https://doi.org/10.1016/S0965-8564(00)00033-1
Volume Contents/Author Index,https://doi.org/10.1016/S0965-8564(01)00033-7
Activity-based disaggregate travel demand model system with activity schedules,https://doi.org/10.1016/S0965-8564(99)00043-9
A multivariate cointegrating vector auto regressive model of freight transport demand: evidence from Indian railways,https://doi.org/10.1016/S0965-8564(99)00046-4
Relationships between highway capacity and induced vehicle travel,https://doi.org/10.1016/S0965-8564(99)00047-6
Overcoming public aversion to congestion pricing,https://doi.org/10.1016/S0965-8564(99)00048-8
Efficiency measurement of selected Australian and other international ports using data envelopment analysis,https://doi.org/10.1016/S0965-8564(99)00049-X
Estimation of saturation flow at signalised intersections of developing cities: a micro-simulation modelling approach,https://doi.org/10.1016/S0965-8564(99)00050-6
An observed traffic pattern in long freeway queues,https://doi.org/10.1016/S0965-8564(99)00052-X
