title,url,year,issue
Field Evaluation of Pavement Surface Treatments,https://www.tandfonline.com/doi/abs/10.1080/10298430008901698,2000,2
Impact of Aggregate Type on Performance of Transverse Cracks in Jointed Concrete Pavements-A Field Study,https://www.tandfonline.com/doi/abs/10.1080/10298430008901699,2000,2
Thick-Plate Model for Warping Stresses in Concrete Pavements,https://www.tandfonline.com/doi/abs/10.1080/10298430008901700,2000,2
Flexural Fatigue Characteristics of Asphalt Concrete with Crumb Rubber,https://www.tandfonline.com/doi/abs/10.1080/10298430008901701,2000,2
A Model for Fatigue Cracking Prediction of Asphalt Pavements Based on Mixture Bonding Energy,https://www.tandfonline.com/doi/abs/10.1080/10298430008901702,2000,2
Laboratory Performance Evaluation of Modified Asphalt Mixtures for Inchon Airport Pavements,https://www.tandfonline.com/doi/abs/10.1080/10298430008901703,2000,2
Application of VESYS3AM in Characterization of Permanent Deformation,https://www.tandfonline.com/doi/abs/10.1080/10298430008901704,2000,3
Correlating the Rheological Properties of Binders with the Mechaical Properties of their Surface Dressing Systems,https://www.tandfonline.com/doi/abs/10.1080/10298430008901705,2000,3
Assessing the Relative Rutting Susceptibility of HMA in the Laboratory with the Asphalt Pavement Analyzer,https://www.tandfonline.com/doi/abs/10.1080/10298430008901706,2000,3
Rational Thickness Design of an Airport Runway for Boeing 777 Aircraft Loading,https://www.tandfonline.com/doi/abs/10.1080/10298430008901707,2000,3
Developments in Maintenance Management in the United Kingdom,https://www.tandfonline.com/doi/abs/10.1080/10298430008901708,2000,3
The Effect of Asphalt Layer Thickness Variations on Pavement Evaluation Using the Falling Weight Deflectometer,https://www.tandfonline.com/doi/abs/10.1080/10298430008901709,2000,4
Using Infrared Thermography to Detect and Measure Segregation in Hot Mix Asphalt Pavements,https://www.tandfonline.com/doi/abs/10.1080/10298430008901710,2000,4
Construction of Test Road to Evaluate Engineering Properties of Polymer-Modified Asphalt Binders,https://www.tandfonline.com/doi/abs/10.1080/10298430008901711,2000,4
Assessment of the Performance of Trial Trenches Backfilled with Cementitious Materials,https://www.tandfonline.com/doi/abs/10.1080/10298430008901712,2000,4
Performance of Asphalt Rubber Mixes in California,https://www.tandfonline.com/doi/abs/10.1080/10298430108901713,2001,1
Utilization of Information Technology to Enhance an Asphalt Pavement Condition Evaluation Program,https://www.tandfonline.com/doi/abs/10.1080/10298430108901714,2001,1
Determination of the Temperature for Mixing Aggregates with Polymer-Modified Asphalts,https://www.tandfonline.com/doi/abs/10.1080/10298430108901715,2001,1
A Titration Method for Measuring the Amount of Liquid Amine-Based Antistrip Additive in Asphalts and Pavements,https://www.tandfonline.com/doi/abs/10.1080/10298430108901716,2001,1
An Alternative Proposal for Reporting the Bearing Capacity of Flexible Airfield Pavements,https://www.tandfonline.com/doi/abs/10.1080/10298430108901717,2001,1
Development of a Simple Test for Evaluation of In-Place Permeability of Asphalt Mixes,https://www.tandfonline.com/doi/abs/10.1080/10298430108901718,2001,2
The Effects of Grading Scale on Repeated Load Triaxial Test Results,https://www.tandfonline.com/doi/abs/10.1080/10298430108901719,2001,2
Effects of Some Metal Sulfates on the Strength and Swelling Properties of Lime-Stabilised Kaolinite,https://www.tandfonline.com/doi/abs/10.1080/10298430108901720,2001,2
Case Studies of a Low-Noise Road Surface,https://www.tandfonline.com/doi/abs/10.1080/10298430108901721,2001,2
Optimizing Pavement Preservation: An Urgent Demand for Every Highway Agency,https://www.tandfonline.com/doi/abs/10.1080/10298430108901722,2001,2
Fractal Assessment of the Surface Texture of Pavements,https://www.tandfonline.com/doi/abs/10.1080/10298430108901723,2001,2
A Study on Moisture Susceptibility of Asphalt Concrete Mixtures Modified with Ethylene-propylene Residual,https://www.tandfonline.com/doi/abs/10.1080/10298430108901724,2001,3
