title,url
Preface,https://doi.org/10.1016/S0968-090X(00)00030-9
Geographic information systems for transportation in perspective,https://doi.org/10.1016/S0968-090X(00)00029-2
A geographic information system framework for transportation data sharing,https://doi.org/10.1016/S0968-090X(00)00006-1
Dynamic location: an iconic model to synchronize temporal and spatial transportation data,https://doi.org/10.1016/S0968-090X(00)00028-0
Map accuracy and location expression in transportation – reality and prospects,https://doi.org/10.1016/S0968-090X(00)00020-6
A three-stage computational approach to network matching,https://doi.org/10.1016/S0968-090X(00)00011-5
Some map matching algorithms for personal navigation assistants,https://doi.org/10.1016/S0968-090X(00)00026-7
A query resolution engine to handle a path operator with multiple paths,https://doi.org/10.1016/S0968-090X(00)00018-8
Development of a transit network from a street map database with spatial analysis and dynamic segmentation,https://doi.org/10.1016/S0968-090X(00)00013-9
Intermodal and international freight network modeling,https://doi.org/10.1016/S0968-090X(00)00004-8
"A new framework for the integration, analysis and visualisation of urban traffic data within geographic information systems",https://doi.org/10.1016/S0968-090X(00)00009-7
Interactive geovisualization of activity-travel patterns using three-dimensional geographical information systems: a methodological exploration with a large data set,https://doi.org/10.1016/S0968-090X(00)00017-6
Modeling regional mobile source emissions in a geographic information system framework,https://doi.org/10.1016/S0968-090X(00)00005-X
Development and evaluation of a hybrid travel time forecasting model,https://doi.org/10.1016/S0968-090X(00)00012-7
Integration of the global positioning system and geographical information systems for traffic congestion studies,https://doi.org/10.1016/S0968-090X(00)00015-2
Performance measures and data requirements for congestion management systems,https://doi.org/10.1016/S0968-090X(00)00008-5
The effects of highway transportation corridors on wildlife: a case study of Banff National Park,https://doi.org/10.1016/S0968-090X(00)00014-0
Mapping evacuation risk on transportation networks using a spatial optimization model,https://doi.org/10.1016/S0968-090X(00)00019-X
Spatial decision support system for hazardous material truck routing,https://doi.org/10.1016/S0968-090X(00)00007-3
A spatial decision support system for retail plan generation and impact assessment,https://doi.org/10.1016/S0968-090X(00)00010-3
Optimizing path query performance: graph clustering strategies,https://doi.org/10.1016/S0968-090X(00)00049-8
Design and development of interactive trip planning for web-based transit information systems,https://doi.org/10.1016/S0968-090X(00)00016-4
"An Internet-based geographic information system that integrates data, models and users for transportation applications",https://doi.org/10.1016/S0968-090X(00)00027-9
Index,https://doi.org/10.1016/S0968-090X(00)00050-4
Investigating the learning effects of route guidance and traffic advisories on route choice behavior,https://doi.org/10.1016/S0968-090X(00)00002-4
An experimental comparative study of autonomous and co-operative vehicle-follower control systems,https://doi.org/10.1016/S0968-090X(00)00021-8
Towards an understanding of adaptive cruise control,https://doi.org/10.1016/S0968-090X(00)00022-X
Production and analysis of coordination plans using a geographic information system,https://doi.org/10.1016/S0968-090X(00)00024-3
Optimisation of parking guidance and information systems display configurations,https://doi.org/10.1016/S0968-090X(00)00031-0
Impacts of information technology on personal travel and commercial vehicle operations: research challenges and opportunities,https://doi.org/10.1016/S0968-090X(00)00042-5
Privacy issues in electronic toll collection,https://doi.org/10.1016/S0968-090X(00)00041-3
New technologies for transport route selection,https://doi.org/10.1016/S0968-090X(00)00040-1
Integrating vehicle design and human factors: minimizing elderly driving constraints,https://doi.org/10.1016/S0968-090X(99)00027-3
Constraint handling methods in pavement maintenance programming,https://doi.org/10.1016/S0968-090X(00)00023-1
The effects of in-car speed limiters: field studies,https://doi.org/10.1016/S0968-090X(00)00025-5
A combined methodology for transportation planning assessment. Application to a case study,https://doi.org/10.1016/S0968-090X(00)00032-2
Automatic vehicle classification system with range sensors,https://doi.org/10.1016/S0968-090X(00)00034-6
Random utility models with implicit availability/perception of choice alternatives for the simulation of travel demand,https://doi.org/10.1016/S0968-090X(00)00036-X
Using ordered probit modeling to study the effect of ATIS on transit ridership,https://doi.org/10.1016/S0968-090X(00)00037-1
A prototype fuel-efficiency support tool,https://doi.org/10.1016/S0968-090X(00)00038-3
Fleet purchase behavior: decision processes and implications for new vehicle technologies and fuels,https://doi.org/10.1016/S0968-090X(00)00035-8
Use of sequential learning for short-term traffic flow forecasting,https://doi.org/10.1016/S0968-090X(00)00039-5
Coordinated traffic-responsive ramp control via nonlinear state feedback,https://doi.org/10.1016/S0968-090X(00)00044-9
A prototype case-based reasoning system for real-time freeway traffic routing,https://doi.org/10.1016/S0968-090X(00)00046-2
Modeling the effects of traveler information on freeway origin–destination demand prediction,https://doi.org/10.1016/S0968-090X(00)00033-4
Driver fatigue: a vision-based approach to automatic diagnosis,https://doi.org/10.1016/S0968-090X(00)00045-0
"A real-time traffic signal control system: architecture, algorithms, and analysis",https://doi.org/10.1016/S0968-090X(00)00047-4
Development and evaluation of a knowledge-based system for traffic congestion management and control,https://doi.org/10.1016/S0968-090X(01)00002-X
A real-time decision support system for roadway network incident response logistics,https://doi.org/10.1016/S0968-090X(00)00043-7
Genetic algorithms in bus network optimization,https://doi.org/10.1016/S0968-090X(00)00048-6
Fleet scheduling and dispatching for demand-responsive passenger services,https://doi.org/10.1016/S0968-090X(01)00003-1
Coordinated and integrated control of motorway networks via non-linear optimal control,https://doi.org/10.1016/S0968-090X(01)00005-5
Urban traffic flow prediction using a fuzzy-neural approach,https://doi.org/10.1016/S0968-090X(01)00004-3
Optimization of mainline traffic via an adaptive co-ordinated ramp-metering control model with dynamic OD estimation,https://doi.org/10.1016/S0968-090X(01)00006-7
Development and adaptation of constructive probabilistic neural network in freeway incident detection,https://doi.org/10.1016/S0968-090X(01)00007-9
Driver response to variable message sign information in London,https://doi.org/10.1016/S0968-090X(01)00008-0
Urban road transport navigation: performance of the global positioning system after selective availability,https://doi.org/10.1016/S0968-090X(02)00008-6
A new methodology for evaluating incident detection algorithms,https://doi.org/10.1016/S0968-090X(02)00007-4
Trucking industry adoption of information technology: a multivariate discrete choice model,https://doi.org/10.1016/S0968-090X(02)00006-2
Evaluation of ramp control algorithms using microscopic traffic simulation,https://doi.org/10.1016/S0968-090X(02)00005-0
Reducing bias in probe-based arterial link travel time estimates,https://doi.org/10.1016/S0968-090X(02)00003-7
Traffic flow stability induced by constant time headway policy for adaptive cruise control vehicles,https://doi.org/10.1016/S0968-090X(02)00004-9
Comparison of parametric and nonparametric models for traffic flow forecasting,https://doi.org/10.1016/S0968-090X(02)00009-8
Editorial Board,https://doi.org/10.1016/S0968-090X(02)00037-2
Intelligent agents in traffic and transportation,https://doi.org/10.1016/S0968-090X(02)00029-3
An agent-based approach to modelling driver route choice behaviour under the influence of real-time information,https://doi.org/10.1016/S0968-090X(02)00025-6
Modelling lane changing and merging in microscopic traffic simulation,https://doi.org/10.1016/S0968-090X(02)00026-8
Using BDI agents to improve driver modelling in a commuter scenario,https://doi.org/10.1016/S0968-090X(02)00027-X
The impact of real-time information in a two-route scenario using agent-based simulation,https://doi.org/10.1016/S0968-090X(02)00031-1
Instrumented city database analysts using multi-agents,https://doi.org/10.1016/S0968-090X(02)00028-1
A cooperative multi-agent transportation management and route guidance system,https://doi.org/10.1016/S0968-090X(02)00030-X
Coordination of traffic management instruments using agent technology,https://doi.org/10.1016/S0968-090X(02)00034-7
Multiagent architectures for intelligent traffic management systems,https://doi.org/10.1016/S0968-090X(02)00032-3
A multi-agent architecture for cooperative inter-jurisdictional traffic congestion management,https://doi.org/10.1016/S0968-090X(02)00033-5
Volume Contents &amp; Author Index,https://doi.org/10.1016/S0968-090X(02)00044-X
Editorial board,https://doi.org/10.1016/S0968-090X(02)00049-9
Multi-destination traffic flow control in automated highway systems,https://doi.org/10.1016/S0968-090X(02)00019-0
Evaluation of freeway control using a microscopic simulation laboratory,https://doi.org/10.1016/S0968-090X(02)00020-7
"Modeling discrete choice behavior using concepts from fuzzy set theory, approximate reasoning and neural networks",https://doi.org/10.1016/S0968-090X(02)00021-9
The value of advanced traveler information systems for route choice,https://doi.org/10.1016/S0968-090X(02)00023-2
Editorial board,https://doi.org/10.1016/S0968-090X(03)00011-1
Connecting readers to the research information they need,https://doi.org/10.1016/S0968-090X(03)00002-0
Calibrating the membership functions of the fuzzy inference system: instantiated by car-following data,https://doi.org/10.1016/S0968-090X(02)00022-0
A multivariate state space approach for urban traffic flow modeling and prediction,https://doi.org/10.1016/S0968-090X(03)00004-4
Willingness to pay for travel information,https://doi.org/10.1016/S0968-090X(03)00005-6
On dynamics of traffic queues in a road network with route choice based on real time traffic information,https://doi.org/10.1016/S0968-090X(03)00008-1
Editorial board,https://doi.org/10.1016/S0968-090X(03)00035-4
Traffic detection and estimation,https://doi.org/10.1016/S0968-090X(03)00027-5
Short-term travel time prediction,https://doi.org/10.1016/S0968-090X(03)00026-3
Estimating median velocity instead of mean velocity at single loop detectors,https://doi.org/10.1016/S0968-090X(03)00025-1
Spatio-temporal inductance-pattern recognition for vehicle re-identification,https://doi.org/10.1016/S0968-090X(03)00024-X
A prescription for transit arrival/departure prediction using automatic vehicle location data,https://doi.org/10.1016/S0968-090X(03)00023-8
Detection-delay-based freeway incident detection algorithms,https://doi.org/10.1016/S0968-090X(03)00022-6
Application of wavelet technique to freeway incident detection,https://doi.org/10.1016/S0968-090X(03)00021-4
Incident detection using support vector machines,https://doi.org/10.1016/S0968-090X(03)00020-2
Editorial board,https://doi.org/10.1016/S0968-090X(03)00047-0
World Congress on Intelligent Transport Systems,https://doi.org/10.1016/S0968-090X(03)00028-7
Dynamic and stochastic shortest path in transportation networks with two components of travel time uncertainty,https://doi.org/10.1016/S0968-090X(03)00029-9
Location dependent data multicasting in intelligent transportation system and its evaluation,https://doi.org/10.1016/S0968-090X(03)00030-5
Evaluation of a reactive dynamic route guidance strategy,https://doi.org/10.1016/S0968-090X(03)00031-7
Multi-agent fuzzy signal control based on real-time simulation,https://doi.org/10.1016/S0968-090X(03)00032-9
Road traffic coordination by electronic trading,https://doi.org/10.1016/S0968-090X(03)00033-0
Editorial board,https://doi.org/10.1016/S0968-090X(03)00060-3
Effects on driving behavior of congestion information and of scale of in-vehicle navigation systems,https://doi.org/10.1016/S0968-090X(03)00003-2
Mixed manual/semi-automated traffic: a macroscopic analysis,https://doi.org/10.1016/j.trc.2002.04.001
The validation of a microscopic simulation model: a methodological case study,https://doi.org/10.1016/j.trc.2003.05.001
"Volume Contents and Author Index - Volume 11, 2003",https://doi.org/10.1016/S0968-090X(03)00067-6
Editorial board,https://doi.org/10.1016/S0968-090X(04)00003-8
A high fidelity traffic simulation model based on cellular automata and car-following concepts,https://doi.org/10.1016/j.trc.2002.05.001
Procedures for planning multi-leg journeys with fixed-route and demand-responsive passenger transport services,https://doi.org/10.1016/j.trc.2002.08.001
Impact of traveler advisory systems on driving speed: some new evidence,https://doi.org/10.1016/j.trc.2003.09.001
Hardware-in-the-loop simulation,https://doi.org/10.1016/j.trc.2002.10.002
Editorial board,https://doi.org/10.1016/S0968-090X(04)00029-4
A decision support system for airport strategic planning,https://doi.org/10.1016/j.trc.2002.10.001
Advanced freight transportation systems for congested urban areas,https://doi.org/10.1016/j.trc.2004.07.002
"Estimation of missing traffic counts using factor, genetic, neural, and regression techniques",https://doi.org/10.1016/j.trc.2004.07.006
Editorial board,https://doi.org/10.1016/S0968-090X(04)00038-5
Intelligent transport systems: emerging technologies and methods in transportation and traffic,https://doi.org/10.1016/j.trc.2004.07.001
New technology and the modeling of risk-taking behavior in congested road networks,https://doi.org/10.1016/j.trc.2004.07.009
Modeling user adoption of advanced traveler information systems: a control theoretic approach for optimal endogenous growth,https://doi.org/10.1016/j.trc.2004.07.004
Fuzzy preference based traffic assignment problem,https://doi.org/10.1016/j.trc.2004.07.003
Intelligent transportation system based dynamic vehicle routing and scheduling with variable travel times,https://doi.org/10.1016/j.trc.2004.07.007
Modeling competitive multi-modal transit services: a nested logit approach,https://doi.org/10.1016/j.trc.2004.07.011
Tracking survey for individual travel behaviour using mobile communication instruments,https://doi.org/10.1016/j.trc.2004.07.010
Simple platoon advancement: a model of automated vehicle movement at signalised intersections,https://doi.org/10.1016/j.trc.2004.07.012
Editorial board,https://doi.org/10.1016/S0968-090X(04)00047-6
Modelling drivers’ car parking behaviour using data from a travel choice simulator,https://doi.org/10.1016/j.trc.2004.07.013
Automated guided vehicle system for two container yard layouts,https://doi.org/10.1016/j.trc.2004.07.014
Recognition and tracking of spatial–temporal congested traffic patterns on freeways,https://doi.org/10.1016/j.trc.2004.07.015
Editorial board,https://doi.org/10.1016/S0968-090X(04)00057-9
Efficiency and equity properties of freeway network-wide ramp metering with AMOC,https://doi.org/10.1016/j.trc.2004.07.016
A hybrid controller for autonomous vehicles driving on automated highways,https://doi.org/10.1016/j.trc.2004.07.008
The Intermittent Bus Lane signals setting within an area,https://doi.org/10.1016/j.trc.2004.07.005
Editorial board,https://doi.org/10.1016/S0968-090X(05)00003-3
Identifying truck correspondence in multi-frame imagery,https://doi.org/10.1016/j.trc.2004.12.002
A fuzzy logic multi-phased signal control model for isolated junctions,https://doi.org/10.1016/j.trc.2004.12.004
Modelling vehicle interactions in microscopic simulation of merging and weaving,https://doi.org/10.1016/j.trc.2004.12.003
Cellular automata for one-lane traffic flow modeling,https://doi.org/10.1016/j.trc.2004.12.001
Editorial board,https://doi.org/10.1016/S0968-090X(05)00019-7
"Handling Uncertainty in the Analysis of Traffic and Transportation Systems (Bari, Italy, June 10–13, 2002)",https://doi.org/10.1016/j.trc.2005.04.001
Possibilities of steering the transportation planning process in the face of bounded rationality and unbounded uncertainty,https://doi.org/10.1016/j.trc.2005.04.003
Fuzzy group model of traffic flow in street networks,https://doi.org/10.1016/j.trc.2005.04.004
What is the meaning of fuzzy costs in fuzzy traffic assignment models?,https://doi.org/10.1016/j.trc.2005.04.005
Multilayer feedforward networks for transportation mode choice analysis: An analysis and a comparison with random utility models,https://doi.org/10.1016/j.trc.2005.04.002
Sensitivity to travel time variability: Travelers’ learning perspective,https://doi.org/10.1016/j.trc.2005.04.006
Editorial Board,https://doi.org/10.1016/S0968-090X(05)00036-7
Model predictive control for optimal coordination of ramp metering and variable speed limits,https://doi.org/10.1016/j.trc.2004.08.001
Optimized and meta-optimized neural networks for short-term traffic flow prediction: A genetic approach,https://doi.org/10.1016/j.trc.2005.04.007
Trucking industry preferences for traveler information for drivers using wireless Internet-enabled devices,https://doi.org/10.1016/j.trc.2004.08.002
Editorial Board/Copyright information,https://doi.org/10.1016/S0968-090X(05)00046-X
"Agents in traffic and transportation: Exploring autonomy in logistics, management, simulation, and cooperative driving",https://doi.org/10.1016/j.trc.2005.07.001
An analysis of agent-based approaches to transport logistics,https://doi.org/10.1016/j.trc.2005.07.002
