journal,article_nr,n_chars,n_words
journal_2,1,4398,543
journal_2,10,62675,9038
journal_2,100,40118,5913
journal_2,1000,73781,10670
journal_2,1001,87624,12390
journal_2,1002,48822,7282
journal_2,1003,83759,12366
journal_2,1004,70706,9888
journal_2,1005,78202,11405
journal_2,1006,112251,17183
journal_2,1007,56251,8178
journal_2,1008,78979,10638
journal_2,1009,78217,11219
journal_2,101,44523,6424
journal_2,1010,86921,12588
journal_2,1011,104962,14539
journal_2,1012,110928,15941
journal_2,1013,10384,1281
journal_2,1014,94309,13514
journal_2,1015,47332,6912
journal_2,1016,67590,10099
journal_2,1017,65797,9136
journal_2,1018,53035,7541
journal_2,1019,82956,12017
journal_2,102,58771,9126
journal_2,1020,96275,14093
journal_2,1021,10380,1281
journal_2,1022,51213,7312
journal_2,1023,66431,9539
journal_2,1024,103113,15058
journal_2,1025,72605,9999
journal_2,1026,85273,11742
journal_2,1027,29158,4575
journal_2,1028,69085,10238
journal_2,1029,40098,6040
journal_2,103,1832,178
journal_2,1030,56085,8406
journal_2,1031,52253,7675
journal_2,1032,94592,12286
journal_2,1033,75351,10729
journal_2,1034,70048,10455
journal_2,1035,74611,10586
journal_2,1036,64720,9095
journal_2,1037,10533,1300
journal_2,1038,10045,1269
journal_2,1039,115434,16227
journal_2,104,43923,6235
journal_2,1040,63186,9449
journal_2,1041,73611,10466
journal_2,1042,64994,9298
journal_2,1043,66076,9484
journal_2,1044,71211,10588
journal_2,1045,70495,10325
journal_2,1046,72028,10385
journal_2,1047,82256,11623
journal_2,1048,56307,7973
journal_2,1049,75064,11424
journal_2,105,58694,8554
journal_2,1050,10565,1304
journal_2,1051,5894,762
journal_2,1052,51773,7782
journal_2,1053,41414,6019
journal_2,1054,66862,10210
journal_2,1055,47289,6738
journal_2,1056,37838,5639
journal_2,1057,10652,1312
journal_2,1058,7010,848
journal_2,1059,59253,9199
journal_2,106,43686,6404
journal_2,1060,99062,14192
journal_2,1061,67446,9776
journal_2,1062,10389,1280
journal_2,1063,63236,9662
journal_2,1064,52597,7528
journal_2,1065,64746,9737
journal_2,1066,80217,12566
journal_2,1067,43761,6678
journal_2,1068,77266,10870
journal_2,1069,63576,9323
journal_2,107,1941,194
journal_2,1070,68552,9901
journal_2,1071,96820,14165
journal_2,1072,120735,16641
journal_2,1073,51375,6985
journal_2,1074,90411,12795
journal_2,1075,55984,7723
journal_2,1076,92059,12967
journal_2,1077,43966,6595
journal_2,1078,65485,9400
journal_2,1079,55280,7648
journal_2,108,1832,178
journal_2,1080,79720,11493
journal_2,1081,64461,9794
journal_2,1082,97585,14652
journal_2,1083,123898,16811
journal_2,1084,55660,7813
journal_2,1085,79537,10733
journal_2,1086,3795,433
journal_2,1087,10599,1292
journal_2,1088,6020,738
journal_2,1089,75283,11339
journal_2,109,87569,13314
journal_2,1090,73985,11397
journal_2,1091,56118,8226
journal_2,1092,80714,11689
journal_2,1093,86386,13007
journal_2,1094,50356,7487
journal_2,1095,57053,8676
journal_2,1096,53658,7381
journal_2,1097,53500,7745
journal_2,1098,66417,9606
journal_2,1099,72004,10627
journal_2,11,57618,7920
journal_2,110,76043,10837
journal_2,1100,81402,12092
journal_2,1101,84287,12195
journal_2,1102,65186,9141
journal_2,1103,65487,9536
journal_2,1104,87482,12394
journal_2,1105,69362,9800
journal_2,1106,10590,1290
journal_2,1107,11469,1493
journal_2,1108,85024,11933
journal_2,1109,117813,16845
journal_2,111,54885,7884
journal_2,1110,65848,9694
journal_2,1111,61728,8836
journal_2,1112,56829,8215
journal_2,1113,65707,8542
journal_2,1114,95705,13639
journal_2,1115,78133,10812
journal_2,1116,91637,12951
journal_2,1117,50312,6925
journal_2,1118,78195,10931
journal_2,1119,43294,6637
journal_2,112,41511,5804
journal_2,1120,10624,1293
journal_2,1121,4625,591
journal_2,1122,90636,12674
journal_2,1123,62460,8719
journal_2,1124,78689,11573
journal_2,1125,80356,11790
journal_2,1126,136606,21984
journal_2,1127,93027,13004
journal_2,1128,120476,16422
journal_2,1129,94997,13264
journal_2,113,1826,178
journal_2,1130,84972,12703
journal_2,1131,91045,13361
journal_2,1132,75740,10709
journal_2,1133,63532,9411
journal_2,1134,91441,12617
journal_2,1135,83774,11762
journal_2,1136,64208,9798
journal_2,1137,105385,14129
journal_2,1138,58562,8102
journal_2,1139,78768,11639
journal_2,114,82859,12231
journal_2,1140,77779,11343
journal_2,1141,86173,12060
journal_2,1142,71444,10444
journal_2,1143,74548,10849
journal_2,1144,69614,9895
journal_2,1145,49291,7003
journal_2,1146,90966,12714
journal_2,1147,10424,1265
journal_2,1148,110100,15964
journal_2,1149,61911,8492
journal_2,115,76322,10711
journal_2,1150,76515,11320
journal_2,1151,115015,16662
journal_2,1152,118045,16115
journal_2,1153,42127,5902
journal_2,1154,87971,12567
journal_2,1155,88578,12817
journal_2,1156,65001,9394
journal_2,1157,35510,5030
journal_2,1158,95263,14670
journal_2,1159,79072,11170
journal_2,116,81191,12049
journal_2,1160,62642,9294
journal_2,1161,68710,9339
journal_2,1162,77787,11681
journal_2,1163,108960,13701
journal_2,1164,91126,13179
journal_2,1165,76577,11113
journal_2,1166,51306,7318
journal_2,1167,51935,7642
journal_2,1168,118548,16811
journal_2,1169,77525,11148
journal_2,117,2117,210
journal_2,1170,85823,12254
journal_2,1171,100328,14991
journal_2,1172,143930,20832
journal_2,1173,79518,11808
journal_2,1174,80609,11127
journal_2,1175,86156,11957
journal_2,1176,74719,10504
journal_2,1177,78686,10788
journal_2,1178,59716,8489
journal_2,1179,130701,18201
journal_2,118,11215,1499
journal_2,1180,10405,1265
journal_2,1181,55020,8324
journal_2,1182,73082,10575
journal_2,1183,86972,12248
journal_2,1184,78444,11219
journal_2,1185,57348,8180
journal_2,1186,65140,9419
journal_2,1187,91705,12980
journal_2,1188,78726,10904
journal_2,1189,98598,14531
journal_2,119,71461,10202
journal_2,1190,10498,1303
journal_2,1191,10681,1464
journal_2,1192,45199,6579
journal_2,1193,72345,10321
journal_2,1194,36658,5081
journal_2,1195,81913,11607
journal_2,1196,76772,10546
journal_2,1197,57218,7862
journal_2,1198,36319,5360
journal_2,1199,46789,6842
journal_2,12,63729,8972
journal_2,120,46855,6592
journal_2,1200,46109,6863
journal_2,1201,61252,8812
journal_2,1202,53815,7670
journal_2,1203,51041,7374
journal_2,1204,37547,5530
journal_2,1205,53224,7772
journal_2,1206,52884,8013
journal_2,1207,10284,1274
journal_2,1208,79270,11089
journal_2,1209,50742,7297
journal_2,121,86604,12469
journal_2,1210,43163,6067
journal_2,1211,112343,16045
journal_2,1212,66018,9711
journal_2,1213,94699,13512
journal_2,1214,55310,8342
journal_2,1215,57270,8344
journal_2,1216,39455,5711
journal_2,1217,83471,12160
journal_2,1218,57045,8209
journal_2,1219,52710,7906
journal_2,122,37556,5252
journal_2,1220,52093,7698
journal_2,1221,87733,12696
journal_2,1222,51457,7442
journal_2,1223,82932,11484
journal_2,1224,76265,11108
journal_2,1225,10357,1258
journal_2,1226,75806,10537
journal_2,1227,76997,11771
journal_2,1228,119068,16705
journal_2,1229,69885,10867
journal_2,123,70120,9891
journal_2,1230,102544,14619
journal_2,1231,43027,5963
journal_2,1232,63703,9242
journal_2,1233,85304,11808
journal_2,1234,59359,9107
journal_2,1235,61965,8723
journal_2,1236,67722,9825
journal_2,1237,76476,11563
journal_2,1238,10313,1263
journal_2,1239,91609,14339
journal_2,124,58336,8706
journal_2,1240,80623,10825
journal_2,1241,57924,8416
journal_2,1242,54488,8098
journal_2,1243,98690,13179
journal_2,1244,66034,9997
journal_2,1245,63395,8903
journal_2,1246,99394,13633
journal_2,1247,80013,11277
journal_2,1248,104662,14767
journal_2,1249,10303,1265
journal_2,125,71733,11033
journal_2,1250,56024,7982
journal_2,1251,126375,19175
journal_2,1252,68831,10167
journal_2,1253,113147,15645
journal_2,1254,71203,10107
journal_2,1255,118362,16596
journal_2,1256,120716,16963
journal_2,1257,130672,18985
journal_2,1258,99613,15149
journal_2,1259,55218,8269
journal_2,126,1829,178
journal_2,1260,53429,7935
journal_2,1261,3484,347
journal_2,1262,10620,1303
journal_2,1263,14357,1895
journal_2,1264,50694,7307
journal_2,1265,43747,6090
journal_2,1266,80332,11872
journal_2,1267,125680,16658
journal_2,1268,93642,13261
journal_2,1269,67896,9365
journal_2,127,80290,11839
journal_2,1270,75640,10278
journal_2,1271,103744,13987
journal_2,1272,69239,10042
journal_2,1273,50520,7134
journal_2,1274,53536,7617
journal_2,1275,58738,8158
journal_2,1276,57087,7427
journal_2,1277,67469,9486
journal_2,1278,85643,11573
journal_2,1279,66053,9316
journal_2,128,53558,8300
journal_2,1280,61931,8989
journal_2,1281,57774,8673
journal_2,1282,114817,16742
journal_2,1283,55293,7997
journal_2,1284,81909,11939
journal_2,1285,54791,8012
journal_2,1286,58349,8173
journal_2,1287,65106,9140
journal_2,1288,63492,9185
journal_2,1289,73058,10118
journal_2,129,96232,13626
journal_2,1290,71707,10577
journal_2,1291,131088,17943
journal_2,1292,41371,5887
journal_2,1293,73834,10980
journal_2,1294,59204,8637
journal_2,1295,61830,8519
journal_2,1296,47795,6836
journal_2,1297,70132,10218
journal_2,1298,39679,5468
journal_2,1299,80103,11708
journal_2,13,71640,9857
journal_2,130,6578,818
journal_2,1300,57241,8307
journal_2,1301,10343,1269
journal_2,1302,69356,10140
journal_2,1303,63404,9100
journal_2,1304,81860,12320
journal_2,1305,42462,6290
journal_2,1306,67064,9807
journal_2,1307,73963,10720
journal_2,1308,90331,13542
journal_2,1309,59742,8202
journal_2,131,52437,7784
journal_2,1310,103030,14709
journal_2,1311,67028,10138
journal_2,1312,72399,10706
journal_2,1313,97074,14282
journal_2,1314,80603,11687
journal_2,1315,59000,8509
journal_2,1316,82912,12028
journal_2,1317,45232,6211
journal_2,1318,56864,7954
journal_2,1319,95185,13830
journal_2,132,102980,15206
journal_2,1320,65808,9358
journal_2,1321,103853,13909
journal_2,1322,118120,16871
journal_2,1323,36667,5374
journal_2,1324,75644,11353
journal_2,1325,78595,11856
journal_2,1326,81186,12004
journal_2,1327,111473,16600
journal_2,1328,43164,6321
journal_2,1329,115635,17135
journal_2,133,61773,9685
journal_2,1330,90968,12605
journal_2,1331,85998,12499
journal_2,1332,10352,1269
journal_2,1333,66981,10258
journal_2,1334,77405,10871
journal_2,1335,53172,7877
journal_2,1336,77751,10350
journal_2,1337,62362,9032
journal_2,1338,74810,11515
journal_2,1339,85877,12006
journal_2,134,6578,818
journal_2,1340,94988,13741
journal_2,1341,90618,12390
journal_2,1342,113178,18117
journal_2,1343,116984,16697
journal_2,1344,76400,11890
journal_2,1345,102347,15180
journal_2,1346,83246,11808
journal_2,1347,75773,10935
journal_2,1348,73310,10619
journal_2,1349,10423,1267
journal_2,135,54134,8275
journal_2,1350,53978,7542
journal_2,1351,72680,10747
journal_2,1352,65340,9866
journal_2,1353,49774,6677
journal_2,1354,75626,11123
journal_2,1355,105000,14951
journal_2,1356,78287,10998
journal_2,1357,82450,12078
journal_2,1358,84905,12311
journal_2,1359,72766,10625
journal_2,136,40885,5919
journal_2,1360,10285,1243
journal_2,1361,83007,12013
journal_2,1362,62874,8762
journal_2,1363,62905,8966
journal_2,1364,65629,9477
journal_2,1365,73461,10486
journal_2,1366,115198,16468
journal_2,1367,62290,9067
journal_2,1368,114778,15936
journal_2,1369,91310,12414
journal_2,137,61548,9138
journal_2,1370,84487,12154
journal_2,1371,10304,1376
journal_2,1372,70135,10679
journal_2,1373,82053,11262
journal_2,1374,63049,9345
journal_2,1375,82203,12590
journal_2,1376,102548,12546
journal_2,1377,81973,11536
journal_2,1378,80661,11776
journal_2,1379,49256,7086
journal_2,138,32619,4799
journal_2,1380,95648,13429
journal_2,1381,113307,15955
journal_2,1382,101371,14440
journal_2,1383,97300,13427
journal_2,1384,68053,9881
journal_2,1385,64184,8687
journal_2,1386,59343,8565
journal_2,1387,75276,10766
journal_2,1388,102961,14451
journal_2,1389,47308,6850
journal_2,139,2190,227
journal_2,1390,99370,15208
journal_2,1391,88632,13040
journal_2,1392,96028,13664
journal_2,1393,10265,1242
journal_2,1394,56711,8484
journal_2,1395,131655,19157
journal_2,1396,97121,13080
journal_2,1397,66010,9649
journal_2,1398,99856,13966
journal_2,1399,79328,11081
journal_2,14,48808,6765
journal_2,140,4640,560
journal_2,1400,80702,11282
journal_2,1401,96984,14061
journal_2,1402,79584,10720
journal_2,1403,61695,8584
journal_2,1404,39170,5599
journal_2,1405,63847,9461
journal_2,1406,88465,12341
journal_2,1407,107225,15759
journal_2,1408,67130,9507
journal_2,1409,80693,11523
journal_2,141,51486,7069
journal_2,1410,93673,14277
journal_2,1411,53201,7588
journal_2,1412,114609,17021
journal_2,1413,83893,12133
journal_2,1414,82082,11077
journal_2,1415,92667,13633
journal_2,1416,114333,16641
journal_2,1417,10288,1243
journal_2,1418,126173,20515
journal_2,1419,100009,14133
journal_2,142,25611,3637
journal_2,1420,71325,10441
journal_2,1421,66475,8894
journal_2,1422,63036,9190
journal_2,1423,68384,9336
journal_2,1424,102420,14338
journal_2,1425,84631,11830
journal_2,1426,107053,15175
journal_2,1427,75234,10637
journal_2,1428,91212,13221
journal_2,1429,71894,10194
journal_2,143,41404,6111
journal_2,1430,92745,12977
journal_2,1431,10402,1264
journal_2,1432,93115,12686
journal_2,1433,54536,7998
journal_2,1434,95833,13626
journal_2,1435,68471,9957
journal_2,1436,80729,10956
journal_2,1437,60621,8736
journal_2,1438,69393,9846
journal_2,1439,78391,11398
journal_2,144,112711,16430
journal_2,1440,97599,14558
journal_2,1441,49116,6905
journal_2,1442,55844,8151
journal_2,1443,10414,1265
journal_2,1444,73162,10684
journal_2,1445,126125,18603
journal_2,1446,93063,14129
journal_2,1447,109100,15469
journal_2,1448,78058,10743
journal_2,1449,47793,6701
journal_2,145,95145,13398
journal_2,1450,81689,11522
journal_2,1451,117210,16498
journal_2,1452,53674,7947
journal_2,1453,53734,8139
journal_2,1454,63182,9262
journal_2,1455,66833,9917
journal_2,1456,10408,1265
journal_2,1457,73122,10435
journal_2,1458,58195,8835
journal_2,1459,79829,11082
journal_2,146,6652,826
journal_2,1460,55031,7632
journal_2,1461,57416,8066
journal_2,1462,70853,9894
journal_2,1463,69589,10138
journal_2,1464,87433,12487
journal_2,1465,68448,9815
journal_2,1466,58800,8600
journal_2,1467,77058,10830
journal_2,1468,87161,12385
journal_2,1469,10411,1265
journal_2,147,67587,10140
journal_2,1470,77782,11886
journal_2,1471,56228,8291
journal_2,1472,77746,11312
journal_2,1473,70302,10037
journal_2,1474,74846,10571
journal_2,1475,91464,13225
journal_2,1476,66047,9657
journal_2,1477,92562,13691
journal_2,1478,79058,11834
journal_2,1479,53979,8151
journal_2,148,71936,10358
journal_2,1480,72162,10855
journal_2,1481,87587,12037
journal_2,1482,75038,10873
journal_2,1483,10628,1295
journal_2,1484,7923,964
journal_2,1485,90404,13381
journal_2,1486,101619,15053
journal_2,1487,62084,8988
journal_2,1488,75391,11150
journal_2,1489,112278,15900
journal_2,149,44439,6167
journal_2,1490,97113,13782
journal_2,1491,67413,9738
journal_2,1492,67469,9987
journal_2,1493,117430,16534
journal_2,1494,85530,11877
journal_2,1495,10411,1262
journal_2,1496,82143,11406
journal_2,1497,75040,10970
journal_2,1498,81551,11307
journal_2,1499,75974,11689
journal_2,15,78542,11822
journal_2,150,7114,825
journal_2,1500,113915,16152
journal_2,1501,56107,7592
journal_2,1502,66095,9121
journal_2,1503,100047,13539
journal_2,1504,87015,12998
journal_2,1505,81576,12275
journal_2,1506,107771,15163
journal_2,1507,109365,14584
journal_2,1508,58065,8194
journal_2,1509,64488,9344
journal_2,151,11320,1476
journal_2,1510,119093,16580
journal_2,1511,63945,8934
journal_2,1512,90904,12763
journal_2,1513,91135,12813
journal_2,1514,106447,15204
journal_2,1515,65071,9895
journal_2,1516,104313,15020
journal_2,1517,104463,15022
journal_2,1518,87399,12841
journal_2,1519,10398,1261
journal_2,152,54782,7486
journal_2,1520,94641,13243
journal_2,1521,95073,13327
journal_2,1522,92128,13787
journal_2,1523,70069,9886
journal_2,1524,66039,9036
journal_2,1525,85269,11861
journal_2,1526,51051,6933
journal_2,1527,49472,7153
journal_2,1528,89693,12384
journal_2,1529,70381,9839
journal_2,153,67890,9775
journal_2,1530,42421,6316
journal_2,1531,72152,10386
journal_2,1532,49199,7203
journal_2,1533,92661,13234
journal_2,1534,72379,10034
journal_2,1535,65511,9076
journal_2,1536,100027,13507
journal_2,1537,88034,12861
journal_2,1538,92615,13627
journal_2,1539,52998,7688
journal_2,154,55268,8450
journal_2,1540,112136,15776
journal_2,1541,89311,12199
journal_2,1542,88192,12798
journal_2,1543,95126,13631
journal_2,1544,69614,9918
journal_2,1545,104934,15294
journal_2,1546,124365,17452
journal_2,1547,88361,12316
journal_2,1548,136512,20450
journal_2,1549,71232,9716
journal_2,155,81904,11935
journal_2,1550,10947,1399
journal_2,1551,100978,14405
journal_2,1552,88789,12214
journal_2,1553,65641,9035
journal_2,1554,77875,11193
journal_2,1555,10278,1242
journal_2,1556,77072,11161
journal_2,1557,97216,13556
journal_2,1558,131665,18115
journal_2,1559,79543,10999
journal_2,156,7287,902
journal_2,1560,76316,9895
journal_2,1561,148400,21508
journal_2,1562,73191,10772
journal_2,1563,77651,11149
journal_2,1564,99034,13717
journal_2,1565,82801,11888
journal_2,1566,63011,9092
journal_2,1567,94761,13844
journal_2,1568,55597,8284
journal_2,1569,65991,9447
journal_2,157,72476,10488
journal_2,1570,102984,15002
journal_2,1571,92463,12380
journal_2,1572,80595,11743
journal_2,1573,67328,9485
journal_2,1574,81994,10247
journal_2,1575,66026,9537
journal_2,1576,82904,11447
journal_2,1577,59294,8389
journal_2,1578,83945,11917
journal_2,1579,70704,9798
journal_2,158,70985,9892
journal_2,1580,82287,11193
journal_2,1581,67715,9943
journal_2,1582,149280,21110
journal_2,1583,94090,13273
journal_2,1584,65942,9348
journal_2,1585,67074,10391
journal_2,1586,72094,10521
journal_2,1587,74486,10612
journal_2,1588,10286,1243
journal_2,1589,11840,1566
journal_2,159,53277,7378
journal_2,1590,124376,16816
journal_2,1591,62332,9115
journal_2,1592,49679,7347
journal_2,1593,72737,9774
journal_2,1594,81031,11555
journal_2,1595,71015,10127
journal_2,1596,11679,1517
journal_2,1597,60837,8783
journal_2,1598,84762,12407
journal_2,1599,65144,9769
journal_2,16,53162,7621
journal_2,160,46916,6820
journal_2,1600,93525,13151
journal_2,1601,71281,10388
journal_2,1602,77900,11333
journal_2,1603,51457,7331
journal_2,1604,82327,12398
journal_2,1605,97389,13249
journal_2,1606,79011,11140
journal_2,1607,10269,1250
journal_2,1608,70730,10636
journal_2,1609,95365,13461
journal_2,161,33978,4794
journal_2,1610,106166,14958
journal_2,1611,69367,8601
journal_2,1612,142989,18604
journal_2,1613,70422,9901
journal_2,1614,67055,9326
journal_2,1615,75085,10227
journal_2,1616,91193,13333
journal_2,1617,70145,10933
journal_2,1618,10321,1255
journal_2,1619,118023,15678
journal_2,162,57255,8344
journal_2,1620,111944,15599
journal_2,1621,161265,20998
journal_2,1622,76363,11324
journal_2,1623,123872,17276
journal_2,1624,95748,13918
journal_2,1625,93214,13585
journal_2,1626,95361,13739
journal_2,1627,90127,13108
journal_2,1628,119050,16463
journal_2,1629,111957,15377
journal_2,163,51312,7438
journal_2,1630,82722,11106
journal_2,1631,115910,16562
journal_2,1632,10321,1255
journal_2,1633,96872,12708
journal_2,1634,86188,12327
journal_2,1635,94756,12907
journal_2,1636,102343,13958
journal_2,1637,99260,13851
journal_2,1638,77850,11359
journal_2,1639,78324,11446
journal_2,164,3138,346
journal_2,1640,86655,12619
journal_2,1641,74628,10177
journal_2,1642,133199,18086
journal_2,1643,105476,15342
journal_2,1644,58445,8528
journal_2,1645,81083,11986
journal_2,1646,99945,14411
journal_2,1647,98860,14013
journal_2,1648,108723,16185
journal_2,1649,69281,10211
journal_2,165,7217,898
journal_2,1650,84267,11944
journal_2,1651,63198,9631
journal_2,1652,98367,13326
journal_2,1653,92425,12587
journal_2,1654,66494,9555
journal_2,1655,93313,12804
journal_2,1656,133821,17503
journal_2,1657,82203,11939
journal_2,1658,69855,9689
journal_2,1659,85057,12458
journal_2,166,64147,8827
journal_2,1660,108948,14245
journal_2,1661,140834,20673
journal_2,1662,80728,11570
journal_2,1663,103706,14483
journal_2,1664,69011,9701
journal_2,1665,79861,11557
journal_2,1666,106097,14902
journal_2,1667,84094,12280
journal_2,1668,130498,18073
journal_2,1669,106224,14696
journal_2,167,72373,10966
journal_2,1670,119981,17503
journal_2,1671,10286,1243
journal_2,1672,95299,13863
journal_2,1673,57301,8079
journal_2,1674,73967,10367
journal_2,1675,146794,20660
journal_2,1676,60113,8977
journal_2,1677,8364,1092
journal_2,1678,67514,10152
journal_2,1679,62011,8757
journal_2,168,72235,10596
journal_2,1680,105721,15348
journal_2,1681,83179,11640
journal_2,1682,66196,9782
journal_2,1683,77217,10445
journal_2,1684,86772,12349
journal_2,1685,163213,23272
journal_2,1686,84821,11874
journal_2,1687,58895,8236
journal_2,1688,78519,11918
journal_2,1689,64460,8970
journal_2,169,7212,898
journal_2,1690,81235,10927
journal_2,1691,114452,16355
journal_2,1692,94412,13168
journal_2,1693,79910,11598
journal_2,1694,10211,1243
journal_2,1695,74503,10440
journal_2,1696,76061,10688
journal_2,1697,85254,12425
journal_2,1698,114984,16885
journal_2,1699,76612,10217
journal_2,17,44219,6217
journal_2,170,45144,6550
journal_2,1700,76297,10895
journal_2,1701,56598,8234
journal_2,1702,116524,16040
journal_2,1703,56020,8097
journal_2,1704,77024,11344
journal_2,1705,77694,11241
journal_2,1706,77484,11031
journal_2,1707,100398,14970
journal_2,1708,4764,522
journal_2,1709,10228,1244
journal_2,171,47444,6955
journal_2,1710,82782,12376
journal_2,1711,105162,15461
journal_2,1712,64832,9361
journal_2,1713,88705,12769
journal_2,1714,102714,14566
journal_2,1715,116940,17911
journal_2,1716,64764,9238
journal_2,1717,90744,13284
journal_2,1718,85029,12091
journal_2,1719,104704,14789
journal_2,172,61047,8479
journal_2,1720,10209,1240
journal_2,1721,57935,8334
journal_2,1722,72336,10374
journal_2,1723,83133,11258
journal_2,1724,72844,9769
journal_2,1725,57661,8355
journal_2,1726,87984,11962
journal_2,1727,93191,12873
journal_2,1728,101459,14009
journal_2,1729,144716,21782
journal_2,173,61482,8777
journal_2,1730,161801,23112
journal_2,1731,108558,13851
journal_2,1732,52679,7699
journal_2,1733,95088,13079
journal_2,1734,53938,7608
journal_2,1735,83520,12270
journal_2,1736,97022,13446
journal_2,1737,71910,10632
journal_2,1738,101477,14063
journal_2,1739,93643,13835
journal_2,174,90382,12588
journal_2,1740,73784,10988
journal_2,1741,130355,18647
journal_2,1742,89316,12737
journal_2,1743,78448,11512
journal_2,1744,59603,8456
journal_2,1745,51771,7369
journal_2,1746,80143,11421
journal_2,1747,73318,10780
journal_2,1748,87748,12899
journal_2,1749,94429,13035
journal_2,175,70186,10496
journal_2,1750,75214,10697
journal_2,1751,12297,1730
journal_2,1752,10264,1232
journal_2,1753,55520,8352
journal_2,1754,88993,12737
journal_2,1755,17786,2302
journal_2,1756,60360,8658
journal_2,1757,60702,8505
journal_2,1758,66190,9701
journal_2,1759,96311,13582
journal_2,176,7425,912
journal_2,1760,92245,12958
journal_2,1761,91379,13039
journal_2,1762,95399,13434
journal_2,1763,87045,11658
journal_2,1764,87864,12076
journal_2,1765,79173,11392
journal_2,1766,10265,1250
journal_2,1767,87221,12392
journal_2,1768,93684,13169
journal_2,1769,79510,10867
journal_2,177,67104,10138
journal_2,1770,75976,11204
journal_2,1771,63717,9422
journal_2,1772,69229,9375
journal_2,1773,80442,10964
journal_2,1774,88103,12502
journal_2,1775,78053,10971
journal_2,1776,107525,14967
journal_2,1777,112589,16230
journal_2,1778,57290,8120
journal_2,1779,89743,12866
journal_2,178,54093,8096
journal_2,1780,81484,11872
journal_2,1781,62433,9747
journal_2,1782,69969,10076
journal_2,1783,67363,9788
journal_2,1784,63558,8555
journal_2,1785,108024,15445
journal_2,1786,69995,9723
journal_2,1787,67426,9224
journal_2,1788,10275,1250
journal_2,1789,6582,849
journal_2,179,80411,11502
journal_2,1790,63577,8994
journal_2,1791,58725,8117
journal_2,1792,68209,9578
journal_2,1793,76368,11541
journal_2,1794,125709,18530
journal_2,1795,128436,17718
journal_2,1796,131138,18454
journal_2,1797,68641,9262
journal_2,1798,69364,10347
journal_2,1799,83841,12083
journal_2,18,48475,7397
journal_2,180,62374,9253
journal_2,1800,78020,11282
journal_2,1801,65821,9100
journal_2,1802,73016,10199
journal_2,1803,115524,16162
journal_2,1804,115259,15243
journal_2,1805,63902,9089
journal_2,1806,76999,10130
journal_2,1807,92359,13558
journal_2,1808,81335,11869
journal_2,1809,112106,16085
journal_2,181,9617,1297
journal_2,1810,83349,12922
journal_2,1811,70616,10665
journal_2,1812,81851,11684
journal_2,1813,78992,11648
journal_2,1814,139550,20234
journal_2,1815,120473,16955
journal_2,1816,10279,1250
journal_2,1817,63287,9403
journal_2,1818,53054,7897
journal_2,1819,79911,11613
journal_2,182,7429,912
journal_2,1820,61837,8922
journal_2,1821,73943,11171
journal_2,1822,84082,11661
journal_2,1823,91652,13283
journal_2,1824,117525,16628
journal_2,1825,81542,11909
journal_2,1826,98508,13915
journal_2,1827,67776,10419
journal_2,1828,88267,12377
journal_2,1829,80966,11576
journal_2,183,37167,5457
journal_2,1830,103326,14395
journal_2,1831,98030,13943
journal_2,1832,94944,13913
journal_2,1833,69428,10011
journal_2,1834,79359,11150
journal_2,1835,80234,11520
journal_2,1836,85133,12225
journal_2,1837,104638,15149
journal_2,1838,10285,1250
